character,dialogue
Rachel," Peki şimdi, sen bu bütün şeye nasıl-nasıl uyuyorsun?"
Ross," Carol ve Susan'ın benim dahil olmamı istediklerini söylüyorlar ama eğer bundan rahatsız olursam, dahil olmak zorunda değilim... temelde tamamen bana kalmış."
Phoebe, O harika! Onu özlüyorum.
Monica, 'İlgili' derken neyi kastediyor?
Chandler, Yani muhtemelen işinin en büyük kısmı bitti.
Ross," Neyse, yarın onlarla bu ultrason olayına gitmemi istiyorlar."
Rachel, Peki ne yapacaksın?
Ross," Hiçbir fikrim yok. Ama ne yaparsam yapayım, yine de baba olacağım."
Joey," .....Eh, bu hala mahvolmuş, değil mi?"
Bayan Geller," Ah, Martha Ludwin'in kızı seni arayacak.  Mmm! Bu köri tadı ne?"
Monica, Köri.
Bayan Geller, Mmmm!
Ross, Bence harikalar! Gerçekten öyle.
Bay Geller,"  Ludwin'leri hatırlıyor musun? Büyük olan sana karşı bir şeyler hissediyordu, değil mi?"
Bayan Geller, Hepsi ona karşı bir şeyler hissediyordu.
Ross," Ah, anne..."
Monica," Özür dilerim, bu kız neden beni arayacak?"
Bayan Geller," Ah, yeni mezun oldu ve yemek pişirme, yiyecek veya... Bilmiyorum. Neyse, ona bir restoranın olduğunu söyledim-"
Monica," Hayır anne, restoranım yok, bir restoranda çalışıyorum."
Bayan Geller, Bunu bilmelerine gerek yok...
Monica," Ross, gelip spagettide bana yardım edebilir misin lütfen?"
Ross, Evet.
Bayan Geller," Ah, spagetti yiyeceğiz! Bu... kolay."
Monica," Bunun inanılmaz derecede bencilce geleceğini biliyorum, ama bebek/lezbiyen meselesini gündeme getirmeyi mi planlıyordun? Çünkü bence bu, üzerimdeki baskıyı biraz olsun azaltabilir."
Bayan Geller," Rachel'ın hayatına yaptığı şey... Kulüpte ailesiyle karşılaştık, pek iyi oynamıyorlardı."
Bay Geller, Düğüne ne kadar harcadıklarını söylemeyeceğim... ama kırk bin dolar çok para!
Bayan Geller, En azından sunakta bir adamı bırakma şansı vardı...
Monica, Bunun anlamı ne?
Bayan Geller, Hiçbir şey! Bu bir deyim.
Monica," Hayır, değil."
Bay Geller," Anneni dinleme. Bağımsızsın ve her zaman öyleydin! Çocukken bile... ve tombuldun ve hiç arkadaşın yoktu, gayet iyiydin! Ve odanızda tek başınıza okurdunuz ve bulmacalarınız..."
Bay Geller," Bakın, Ross gibi müzesi ve yayınlanmış makaleleriyle yıldızlara ulaşmaya çalışan insanlar var. Diğer insanlar oldukları yerde kalmaktan memnunlar - size söylüyorum, bunlar asla kanser olmayan insanlar."
Bay Geller, ...Ve bu kadınların her şeye sahip olmaya çalıştığını okudum ve Tanrı'ya şükürler olsun ki 'Küçük Mızıkamız'da bu sorun yok.
Monica,"  Peki Ross, neler oluyor? Hikayen var mı?  Haber yok, insanlarla paylaşacak küçük anekdotlar yok mu?"
Ross,"  Tamam! Tamam.  Bakın, ben, şey- Carol ile aramızda tam olarak ne olduğunu merak ettiğinizi biliyorum ve, yani, işte mesele bu. Carol bir lezbiyen. Susan adında bir kadınla yaşıyor. Çocuğuma hamile ve bebeği Susan'la birlikte büyütecekler."
Bayan Geller,  Ve bunu biliyor muydun?!
Joey," Ailen gerçekten o kadar kötü, değil mi?"
Ross," Şey, bilirsin, bu insanlar profesyonel. Ne yaptıklarını biliyorlar, zaman ayırıyorlar, işi bitiriyorlar."
Monica," Vay canına, biliyorum, anne babanı değiştiremeyeceğini söylüyorlar... vay canına, eğer yapabilseydin-  -Seninkini isterdim."
Ross, İşemeliyim.
Phoebe," Biliyor musun, ikiz olduğunda daha da kötü oluyor."
Rachel, İkiz misiniz?
Phoebe," Evet. Konuşmuyoruz. O, yüksek güçlü, hırslı bir kariyer tipi."
Chandler, Ne iş yapıyor?
Phoebe, Garson.
Rachel," Tamam, çocuklar, şimdi biraz temizlik yapmam gerek."
Monica," Chandler, sen tek çocuksun, değil mi? Bunların hiçbiri sende yok."
Chandler," Şey, hayır, ama hayali bir arkadaşım vardı, ki... annem ve babam aslında onu tercih ediyordu."
Rachel, Işıklar lütfen..
Ross, ...Ne kadar süre orada kaldım?
Rachel, Sadece temizlik yapıyorum.
Ross, D'ya.. şey.. yardıma ihtiyacın var mı?
Rachel," Şey.. tamam, tabii! Teşekkürler!"
Ross," Neyse.. şey..  Peki, yarın Barry için gergin misin?"
Rachel, Oh.. biraz..
Ross, Mm-hmm..
Rachel, Çok.
Ross, Mm.
Rachel," Peki, herhangi bir tavsiyen var mı? Bilirsin, yakın zamanda terk edilmiş biri olarak?"
Ross," Pekala, 'terk edilmiş' kelimesinden uzak durmak isteyebilirsin. Büyük ihtimalle bu olacak, bu kırık kabuklu adam, bilirsin, bu yüzden çok muhteşem görünmemeye çalışmalısın, biliyorum zor olacak. Ya da, bilirsin, şey, hey!, oraya gideceğim ve Barry'ye yüzüğünü geri vereceğim ve sen Carol ve Susan ile jinekoloğa gidebilirsin..."
Rachel," Ah, yarın Carol'la birlikte olacaksın.. Ne zaman bu kadar karmaşık hale geldi?"
Ross, Anladım.
Rachel," Lisedeyken birlikteydik, hatırlıyor musun?"
Ross, Evet.
Rachel," Yani, biriyle tanışıp aşık olacağını ve bunun böyle olacağını düşünmedin mi?  ..Ross?"
Ross," Evet, evet!"
Rachel," Ah! Dostum, burada olacağımı hiç düşünmezdim.."
Ross, Ben de...
Ross,"  Özür dilerim geç kaldım, işte sıkıştım. Büyük bir dinozor vardı... şey... neyse."
Susan, Merhaba.
Carol," Ross, Susan'ı hatırlıyor musun?"
Ross, Nasıl unutabilirim?
Susan, Ross.
Ross,"  Merhaba, Susan.  Güzel bir sıkışma. Güzel bir sıkışma. Yani, şey, sadece bekliyoruz...?"
Carol, Dr. Oberman.
Ross, ..Dr. Oberman. Tamam. Ve o...
Susan, O.
Ross," -o, tabii ki, o- şey- bizim özel durumumuza aşina mı?"
Carol, Evet ve çok destekleyici.
Ross," Tamam, bu harika.  Hayır, ben- Oh."
Carol, Teşekkürler.
Ross,"  Vak, vak.."
Carol, Ross? Bu benim serviksimi açar.
Rachel, Barry?
Barry, Gel içeri.
Rachel,  Emin misin?
Barry," Evet! İyi, iyi. Robbie saatlerce burada olacak."
Robbie, Ha?!
Barry," Peki, nasılsın?"
Rachel, Ben- şey- iyiyim... Harika görünüyorsun!
Barry," Evet, şey.."
Bernice,"  Dr. Farber, Jason Greenstein'ın öğürmesi."
Barry,  Hemen geliyorum.  Bir saniye içinde geri dönerim.
Rachel, Onu terk ettim.
Robbie, Tamam.
Ross," Peki, şey- peki bu nasıl, şey, nasıl işleyecek? Bilirsin, bizimle? Bilirsin, önemli kararların alınması gerektiğinde?"
Carol, Bana bir 'mesela' ver.
Ross," Şey, şey, şey, bilmiyorum, tamam, tamam, peki ya, şey, bebeğin ismiyle ilgili ne olacak?"
Carol, Marlon-
Ross, Marlon?!
Carol," -erkek olursa Minnie, kız olursa Minnie."
Ross, ...Fare gibi mi?
Carol, Büyükannem gibi.
Ross," Yine de sen- sen Minnie diyorsun, Fare'yi duyuyorsun. Şey, ya, şey... Julia ne olacak?"
Carol, Julia..
Susan, Minnie konusunda anlaştık.
Ross," 'Komik, şey, şey, hayatımızın geri kalanını birlikte geçireceğimiz konusunda anlaştık. Her şey değişir, yumruklarla yuvarlanır. Julia'nın masada olduğuna inanıyorum..?"
Barry, Özür dilerim. Peki. Neler yapıyorsun?
Rachel," Ah, pek bir şey yok. İş buldum."
Barry," Ah, harika."
Rachel, Neden- neden bu kadar bronzsun?
Barry," Oh, ben, şey- ben Aruba'ya gittim."
Rachel, Oh hayır. Balayımıza tek başına mı gittin?
Barry," Hayır. Ben şeyle gittim.. Şimdi, bu canını yakabilir."
Robbie, Ben mi?!
Barry, Hayır!  Mindy ile gittim.
Rachel, Mindy?! Nedimem Mindy mi?!
Barry," Evet, şey, şey, artık bir şey olduk."
Rachel," Oh! Şey, şey..  Tıkaçların var!"
Barry, Dikkat et! Henüz tam olarak tutmadılar.
Rachel, Ve lenslerin var! Ama parmağını gözüne sokmaktan nefret ediyorsun!
Barry," Onun için değil. Dinle, gerçekten teşekkür etmek istedim."
Rachel, Tamam..
Barry," Bak, yaklaşık bir ay önce, seni incitmek istedim. Hayatımda hiç kimseyi incitmek istemediğimden daha fazla. Ve ben bir ortodontistim."
Rachel, Vay canına.
Barry," Biliyor musun, haklıymışsın? Yani, mutlu olduğumuzu sanıyordum. Mutlu değildik. Ama Mindy ile şimdi mutluyum. Tükürük."
Rachel, Ne?
Robbie, Ben.
Rachel," Neyse, şey,  Sanırım bu sana ait. Ve bana verdiğin için teşekkür ederim."
Barry," Şey, geri verdiğin için teşekkür ederim."
Robbie, Merhaba?!
Susan," Ah, lütfen! Helen'a ne oldu?"
Ross, Helen Geller mı? Sanmıyorum.
Carol, Merhaba? Helen Geller olmayacak.
Ross, Teşekkürler!
Carol," Hayır, yani Geller olmayacak."
Ross," Ne, Helen Willick mi olacak?"
Carol," Hayır, aslında, şey, Helen Willick-Bunch hakkında konuştuk."
Ross," Bir dakika, ne- neden başlıkta o var?"
Susan, Benim de bebeğim.
Ross," Ah, komik mi, gerçekten mi? Şey, hiç sperm ürettiğini hatırlamıyorum."
Susan," Evet, ve hepimiz bunun ne kadar zor olduğunu biliyoruz!"
Carol," Tamam, ikiniz de, bırakın şunu!"
Ross," Hayır, hayır, hayır, o bir kredi alacak, hey, ben de varım."
Carol, Ross. Aslında Helen Willick-Bunch-Geller'ı mı öneriyorsun? Çünkü bence bu çocuk istismarına yakın.
Ross," Elbette hayır, ben... Geller-Willick-Bunch'ı öneriyorum."
Susan," Ah, hayır, hayırhayırhayırhayır, ne yaptığını görüyor musun? Kimsenin bu isimleri söylemeyeceğini biliyor, bu yüzden ona Geller diyecekler, sonra da istediğini elde edecek!"
Ross," Benim yolum mu?! Sen-sen bunun benim yolum olduğunu mu düşünüyorsun? İnan bana, hayatımda bu anın olabileceği tüm yollar arasında, bu benim yolum değil- biliyor musun? Şey, şey, bu çok zor. Ben değilim, yapamam-"
Dr. Oberman,  Kapı kapı! Bugün nasılız? Mide bulantısı var mı?
Hepsi, Evet. Evet. Biraz.
Dr. Oberman," Şey, sadece anne adayını merak ediyordum ama.. paylaştığın için teşekkürler.  Şey, uzan.."
Ross," Sen- şey- biliyor musun, ben gidiyorum. Ben- Şu anda bu özel şeye dahil olabileceğimi sanmıyorum."
Ross, Aman Tanrım.
Susan, Şuna bak.
Carol, Biliyorum.
Ross, Peki? Bu harika değil mi?
Joey, Burada ne görmemiz gerekiyor?
Chandler, Bilmiyorum ama... Sanırım Enterprise'a saldırmak üzere.
Phoebe," Biliyor musun, başını sola eğersen ve gözlerini rahatlatırsan, biraz eski bir patatese benziyor."
Ross," O zaman bunu yapma, tamam mı?"
Phoebe, Tamam!
Ross,  Monica. Ne düşünüyorsun?
Monica,  Mm-hmm.
Ross, Ne-gözlerin doluyor?
Monica, Hayır.
Ross, Gözün doluyor.
Monica, Değilim!
Ross, Teyze olacaksın.
Monica,"  Ah, sus!"
Rachel,"  Merhaba Mindy. Merhaba, ben Rachel. Evet, iyiyim. Barry'yi bugün gördüm. Oh, evet, evet o bana söyledi. Hayır, hayır, sorun değil. Umarım ikiniz de çok mutlusunuzdur, gerçekten. Oh, oh, ve Mind, bilirsin ya, eğer-eğer her şey yolunda giderse ve siz ikiniz evlenip çocuk sahibi olursanız-ve her şey-sadece onun eski saç çizgisini ve senin eski burnunu umarım.   Tamam, biliyorum ucuz bir hamleydi ama şimdi kendimi çok daha iyi hissediyorum."
Phoebe,  Merhaba çocuklar!
Hepsi," Hey, Pheebs! Merhaba!"
Ross," Hey. Oh, oh, nasıldı?"
Phoebe," Eee, pek iyi değildi. Beni metroya kadar yürüttü ve ""Bunu tekrar yapmalıyız!"" dedi."
Hepsi, Ohh. Of.
Rachel," Ne? ""Bunu tekrar yapmalıyız"" dedi, bu iyi, değil mi?"
Monica," Ee, hayır. Kabaca tercüme edersek ""Bunu tekrar yapmalıyız"" ""Beni asla çıplak göremeyeceksin"" anlamına geliyor."
Rachel, Ne zamandan beri?
Joey," Her zamandan beri. Flört dili gibi. Bilirsin, ""Sen değilsin"" ""Sensin"" anlamına geliyor."
Chandler," Ya da ""Sen çok iyi bir adamsın"" ""Deri giyen alkoliklerle flört edeceğim ve sana onlardan şikayet edeceğim"" anlamına geliyor."
Phoebe," Ya da, ya da, bilirsin işte, 'Bence başka insanlarla görüşmeliyiz' demek 'Ha, ha, zaten öyleyim' demektir."
Rachel, Ve bunu herkes biliyor mu?
Joey, Evet. Darbeyi yumuşatır.
Chandler," Evet, çocukken, anne baban köpeğini uyutup, bir çiftlikte yaşamaya gittiğini söylediğinde olduğu gibi."
Ross," Komik, hayır, çünkü, şey, anne babamız köpeğimizi gerçekten bir çiftlikte yaşamaya gönderdi."
Monica," Şey, Ross."
Ross," Ne? Ne- merhaba? Connecticut'taki Millner çiftliği mi? Millner'ların inanılmaz bir çiftliği vardı, atları ve kovalayabileceği tavşanları vardı ve bu- bu... Aman Tanrım, Chi Chi!"
Chandler," ""Ölmek üzere olduğunu bilmek nasıl bir duygu?"""
Joey," ""Gardiyan, beş dakika içinde acım bitecek. Ama dürüst bir adamı ölüme gönderdiğin bilgisiyle yaşamak zorundasın."""
Chandler," Hey, bu gerçekten iyiydi!"
Joey, Teşekkürler! Devam edelim.
Chandler," Tamam. ""Yani. Benden ne istiyorsun, Damone, ha?"""
Joey," ""Sadece hücreme geri dönmek istiyorum. Çünkü hücremde sigara içebiliyorum."""
Chandler," ""Dumanı tüttür."""
Chandler, Sanırım Damone'un hücresinde tek başına sigara içmesinin sebebi bu.
Joey, Ne?
Chandler, Elini gevşet!
Chandler, O kadar da değil!
Joey, Vay canına!
Chandler, Hey!
Joey, Hey!
Chandler," Tamam, şimdi bir nefes çekmeyi dene."
Chandler, Tamam.. tamam. Hayır. Bana ver.
Joey," Hayır, hayır, sana sigara vermiyorum."
Chandler," Sorun değil, sorun değil. Bak, bu kısmı almak istiyor musun, istemiyor musun? Al."
Chandler," Bunu bir sigara olarak düşünme. Elinde eksik olan şey olarak düşün. Onu tuttuğunda, iyi hissediyorsun. Kendini tamamlanmış hissediyorsun."
Joey, Özledin mi?
Chandler," Hayır, o kadar da değil. Tamam, şimdi içiyoruz.  Aman Tanrım."
Monica," Hayır, hayır, hayır. Bir adamın başparmağının ucundan işaret parmağının ucuna kadar olan mesafeye eşit olduğunu söylerler."
Joey, Bu saçmalık!
Ross, Herhangi bir başparmağımı kullanabilir miyim?
Rachel,"  Tamam, bana söyleme, bana söyleme!  Joey için kafeinsiz kapuçino.. Sade kahve.. Geç.. Ve bir buzlu çay. Bunda oldukça iyi oluyorum!"
Hepsi," Evet. Evet, mükemmel."
Rachel,  Benim için iyi!
Joey," İyi misin, Phoebe?"
Phoebe," Evet- hayır- sadece- bu, çalışmadım- bu benim bankam."
Monica, Sana ne yaptılar?
Phoebe," Önemli değil, sadece- Tamam. Postamı karıştırıyorum ve aylık, bilirsin, EK-"
Ross, Kolay.
Phoebe, - ve hesabımda beş yüz dolar fazla var.
Chandler," Ah, Şeytan'ın yandaşları yine iş başında..."
Phoebe," Evet, çünkü şimdi oraya gidip onlarla uğraşmam gerekiyor."
Joey, Neyden bahsediyorsun? Sakla onu!
Phoebe," Benim değil, ben kazanmadım, saklasaydım çalmak gibi olurdu."
Rachel," Evet, ama harcarsan, alışveriş gibi olur!"
Phoebe," Tamam. Tamam, diyelim ki gerçekten harika bir çift ayakkabı aldım. Attığım her adımda ne duyacağımı biliyor musun? 'Benim değil. Benim değil. Benim değil.' Ve mutlu olsam bile, tamam, ve atlayarak- 'Benim değil, benim değil, benim değil, benim değil, benim değil'..."
Monica, Seninleyiz. Anladık.
Phoebe, Tamam. Ben- sadece- asla tadını çıkaramazdım. Devasa bir karmik borç gibi olurdu.
Rachel," Chandler, ne yapıyorsun?"
Monica,  Hey. Ne yapıyorsun?
Hepsi, Oh! Aman Tanrım!
Ross, Bu ne?!
Chandler," Sigara içiyorum. Sigara içiyorum, sigara içiyorum."
Phoebe," Ah, inanamıyorum! Üç yıldır çok iyiydin!"
Chandler, Ve bu- benim ödülüm!
Ross," Bir saniye bekle, tamam mı? Son bıraktığında neler yaşadığını düşün."
Chandler," Tamam, bu sefer bırakmayacağım!"
Hepsi, Ohhh! Söndür onu!
Chandler," Tamam! Söndürüyorum, söndürüyorum."
Phoebe," Ah, hayır! B- şimdi bunu içemem!"
Monica," Tamam. Gidip üstümü değiştireceğim, bir randevum var."
Rachel, Yine mi Alan? Nasıl gidiyor?
Monica," İyi gidiyor, biliyor musun? Güzel ve eğleniyoruz."
Joey, Peki adamla ne zaman tanışacağız?
Monica," Bakalım, bugün Pazartesi... Asla."
Hepsi, Hadi ama! Hadi ama!
Monica, Hayır. Steve'le olanlardan sonra değil.
Chandler, Neyden bahsediyorsun? Schhteve'i seviyoruz! Schhteve schhexy'di!.. Üzgünüm.
Monica," Bak, henüz onun hakkında ne hissettiğimi bile bilmiyorum. Bunu anlamam için bana bir şans ver."
Rachel," Peki, o zaman onunla tanışabilir miyiz?"
Monica, Hayır. Schhorry.
Monica," Yani, neden onlarla tanışmalarına izin vereyim? Yani, eve bir adam getiriyorum ve beş dakika içinde onu ele geçiriyorlar. Yani, sanki çakallar gibi, sürünün zayıf üyelerini seçiyorlar."
Paula," Dinle. Kötü sığır etinin adil payından fazlasını görmüş biri olarak, sana şunu söyleyeceğim: bu o kadar da kötü bir şey değil. Yani, onlar senin arkadaşların, sadece sana göz kulak oluyorlar."
Monica," Biliyorum. Keşke bir keresinde, gerçekten hoşlandıkları bir adamı eve getirseydim."
Paula," Eh, bunun olma ihtimalinin biraz daha düşük olduğunu fark ediyorsun, eğer onlar adamla asla tanışamazsın.."
Joey," Bırak gitsin, Ross."
Ross," Evet, peki, Chi Chi'yi bilmiyordun."
Monica, Hepiniz söz veriyor musunuz?
Hepsi, Evet! Söz veriyoruz! İyi olacağız!
Monica,  Chandler? İyi olacağına söz veriyor musun?
Joey," İçeri girebilirsin, ama filtreli küçük dostun dışarıda kalmak zorunda!"
Ross," Hey, Pheebs."
Phoebe, 'Sevgili Bayan Buffay. Hatamıza dikkat çektiğiniz için teşekkür ederiz. Hesabınıza beş yüz dolar yatırdık. Rahatsızlıktan dolayı özür dileriz ve bunu  -futbol telefonunu ücretsiz hediyemiz olarak kabul edeceğinizi umuyoruz.' Buna inanıyor musunuz?! Şimdi bin dolarım ve bir futbol telefonum var!
Rachel, Bu hangi banka?
Monica, Hey. O bu.  Kim o?
Alan,  Alan bu.
Joey,  Chandler! O burada!
Monica,"  Tamam, lütfen iyi olun, lütfen. Hepinizin beni ne kadar sevdiğinizi hatırlayın."
Monica," Merhaba. Alan, herkes burada. Herkes, ben Alan."
Alan, Merhaba.
Herkes," Merhaba, Alan."
Alan, Hepiniz hakkında çok şey duydum!
Monica,"  Teşekkürler. Yarın seni ararım.  Tamam. Tamam, Alan'a laf sokmaya başlayalım. İlk atışı kim yapacak, hmm?"
Monica, Hadi!
Ross," ...Ben gidiyorum. Sürekli laf sokmasıyla başlayalım- hayır, üzgünüm, bunu yapamam, bunu yapamam. Onu çok seviyorduk."
Herkes, Onu çok seviyorduk! Evet! Harika biri!
Monica, Bir dakika! Çıkacağım birinden mi bahsediyoruz?
Herkes, Evet!
Rachel, Ve fark ettin mi...?
The Guys,  Evet.
Joey, Neyin harika olduğunu biliyor musun? Gülümsemesinin biraz çarpık olması.
Phoebe," Evet, evet! Ayakkabıdaki adam gibi!"
Ross, ...Hangi ayakkabı?
Phoebe," Çocuk tekerlemesinden. 'Çarpık bir adam vardı, Çarpık bir gülümsemesi vardı, Ayakkabının içinde yaşadı, Bir süre...'"
Ross, ...Yani Alan'ın gelecekteki tüm erkek arkadaşların ölçüleceği ölçüt olacağını düşünüyorum.
Rachel," Hangi gelecekteki erkek arkadaşlar? Hayır, ben... bence bu olabilir, bilirsin işte."
Monica, Gerçekten!
Chandler," Ah, evet. Sadece David Hasselhof taklidi için bile onunla evlenebilirdim. Bunu partilerde yapacağımı biliyorsun, değil mi?"
Ross, Peki onun hakkında en çok neyi sevdiğimi biliyor musun?
Hepsi, Ne?
Ross, Bana kendim hakkında hissettirdiği şey.
Hepsi, Evet...
Monica, Merhaba.. oyun nasıldı?
Ross, Şey..
Hepsi, KAZANDIK!! Teşekkürler! Evet!
Monica, Harika! Bir sorum var: Bu nasıl mümkün olabilir?
Joey, Alan.
Ross," İnanılmazdı. Tıpkı Bugs Bunny çizgi filmindeki gibi, Bugs tüm pozisyonlarda oynuyordu, değil mi, ama Bugs yerine birinci kale-Alan, ikinci kale-Alan, üçüncü kale-..."
